"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"5492","91/10-26-024-14W3/0","191102602414W300",51.0822769,-107.8503165,633.25,1319,2010-07-29,2010-06-09,"Horizontal","FORGAN VIKING","STEELHEAD PETROLEUM LTD."
"5493","91/10-27-029-22W3/0","191102702922W300",51.5194664,-109.0120776,726.89,1452,2013-07-24,2013-07-12,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5494","91/10-29-029-21W3/0","191102902921W300",51.5193742,-108.9183195,724.53,1421,2011-09-03,2011-08-15,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5495","91/10-28-033-24W3/0","191102803324W300",51.8624019,-109.3327159,696.29,1485,2014-12-24,2014-12-02,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"5496","91/11-13-033-29W3/0","191111303329W300",51.822151,-109.9892512,733.36,1650,2015-10-01,2015-09-10,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"5497","91/12-11-024-16W3/0","191121102416W300",51.0385164,-108.1410195,608.05,1272.4,2010-11-15,2010-07-16,"Horizontal","VIKING SAND","CRESCENT POINT RESOURCES PARTNERSHIP"
"5498","91/11-04-031-19W3/0","191110403119W300",51.6308658,-108.6519836,716.25,1493,2015-10-28,2015-08-30,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5499","91/11-04-033-20W3/0","191110403320W300",51.8032266,-108.793664,644.19,1458,2013-03-18,2013-02-03,"Horizontal","PLENTY VIKING SAND","NAL RESOURCES LIMITED"
"5500","91/11-07-031-19W3/0","191110703119W300",51.6417861,-108.6988052,689.49,1546,2013-01-10,2012-12-09,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5501","91/11-11-026-19W3/0","191111102619W300",51.2136587,-108.5487186,694.74,1446,2015-07-16,2015-06-24,"Horizontal","PLATO NORTH VIKING","CRESCENT POINT ENERGY CORP."
"5502","91/11-14-026-19W3/0","191111402619W300",51.2281356,-108.5513217,707.56,1485,2015-08-18,2015-07-21,"Horizontal","PLATO NORTH VIKING","CRESCENT POINT ENERGY CORP."
